ieul_企業id,ieul_店舗id,名前,性別,年齢,都道府県,市区町村,住所全部,売却回数,売却検討時期,査定依頼時期,売出時期,売却時期,引渡時期,査定価格,販売価格,値下げしたかどうか,売り出してから何ヶ月後に値下げしたか,値下げ価格,成約価格,媒介契約の形態,見出し,売却理由,売却時に不安だったこと,この会社に決めた理由,不動産会社の対応満足度,不動産会社の対応満足度の理由,今後売却する人へのアドバイス,不動産会社に改善してほしい点,物件種別
465,474,内田 緑,女性,45,宮城県,東松島市,西福田字長峯,3回以上,2018-08-01,2018-10-05,2018-10-10,2019-10-21,2019-10-31,4000000,5800000,1,6,500000,4500000,1,初めての不動産売買で不安な事も多かったが、売却できて良かったです,2,家を新築したくて。ローンの追い金もあまりしないでいける金額で売却したいと考えていました。,一番反応の早かった業者に決めました。 家を売却する提案書 もしっかりしていてプレゼンが一番出来ていました。 担当者と電話で話した時も、きっちり話を聞いて質問にも答えてくれたのが決め手です。 加えて売却提示額も高かったです。,2,熱心に売買活動に取り組んでいただけました。色々迅速に対応していただけたのは良かったが、もう少し購入を検討している人等の途中経過を教えて欲しかった。,売却を考える際は、ある程度の事を全て決めた上で不動産会社と話をした方がいいと思います。自分の希望に合った条件の会社を妥協せず見つけるのが大事だと思います。,最初の話とズレてると思うことが何回かあったのが気になりました。,戸建て
466,475,町田 和弘,男性,42,山口県,防府市,大字佐野小島,初めて,2018-08-01,2018-09-01,2019-01-01,2019-03-15,2019-05-16,28000000,28900000,0,,,28400000,1,地元に強い、活動の見える業者,1,両親が亡くなり、実家が空き家になったため今の家を売却して実家に帰ろうと思いました。残債が返済できるくらいの金額で売れるか心配でしたが、不動産会社さんのおかげで無事に売ることができました。,対応が早く、私のマンションの他部屋の仲介実績が二件くらいあった。売却査定理由に納得ができたし、担当の仲介セールスマンが買い手を数人以前から確保してたみたいだから。,3,熱心に活動してくれましたが、必要以上のアプローチもなく、レスポンスも早かったです。何より物件に自信を持たせてくださったので、こちらも勇気が湧きました。,焦らないことが一番ですが、一定期限を決めて売却することが重要かと。何より決断力が重要です。,,マンション
467,476,岩松 宗行,男性,63,千葉県,船橋市,旭町６丁目,2回め,2018-07-12,2018-07-31,2018-08-09,2018-10-11,2018-10-29,41000000,42000000,1,1,3000000,36500000,1,対応が早く親身になってくれたことです。,6,ずっとマンションだったので一戸建はちょっと怖いと思いました。,土地売買や土地活用の経験に富んだ地元の知人経由の紹介だったことと、高値でのオファーが来たことが決め手。その他の面倒な交渉も初期の段階から熱心にしてくれ、仲介手数料も割り引いてもらえた。,5,初めての不動産売却でわからない事だらけでしたが、後押ししてくださったり、どんな質問にも迅速かつ丁寧に答えてくださり、真面目な方で良かったとおもってます。,都内はオリンピック前の今かなり良い条件で売却できるかと思いますので、考えてる方は良い時期だと思います。,特にありません,土地
468,477,原田 仁美,女性,57,岩手県,久慈市,夏井町夏井第２地割,3回以上,2018-11-01,2018-12-01,2018-12-01,2019-05-01,2019-05-01,32000000,32000000,1,,,28000000,1,担当者の方の清潔感が素晴らしかったです。,3,定年を前に出費を抑えるたかった。売却後の残金と住替えの頭金。,まず担当者の方の対応が早かったことでした。不安に感じていることやわからないことや、それまでの流れを全て聞いた上で相談に乗っていただけました。こちらが聞いたことには必ず返答があり、心配にならないように対処していただけました。,5,いつも丁寧でわかりやすい説明をしていただき、連絡もスムーズなやりとりで、素晴らしい対応でした。契約する前も、必要以上の連絡はなく、こちらのペースに合わせていただいたので、滞りなく全てが進みました。,どこの会社かというより、それぞれに合った担当者がいると思うので、自分に合った担当者との出会いが大事だと思いました。,,戸建て
469,478,服部 美寿々,女性,40,山形県,酒田市,山寺字観音山,初めて,2018-07-01,2018-07-01,2018-12-20,2019-06-30,2019-07-31,15500000,15500000,0,,,15000000,2,熱意、誠意が伝わってきたことが一番の決め手でした。,5,運送業を営んでいましたが、仕事が順調に回らず、金融会社から多額の借金をしてしまった。なかなか返して行くのが厳しくなり、やむを得ず売却するに至りました。27年間住んだ家を手放し、実家に戻って、また一からやり直せるのかが不安でした。,ネットで一括査定を試み、数社から回答が届きました。ある業者は「更地にした方が売りやすい」と建物を取り壊すことを勧める業者や、価格設定された業者の中でも1000万以上の差があり、どこを信用していいのか不安に思っていました。それを踏まえて、知り合いの不動産会社の方に相談して連絡を取りやすいところに頼むことにしました。,5,こちらの要望を熱心に聞いて頂き、質問には的確にお答え頂きました。また、当社は仲介手数料のみ頂き、利幅を上乗せするようなことも一切ないと断言して頂きました。非常に信頼のおける担当者で全て任せようという気持ちにさせて頂き、不安要素がありませんでした。,大手の高い金額の査定につられることなく、地元密着型の会社で、担当者の熱意が伝わる会社と契約する事が一番だと思います。,ありません。100点満点でした。,マンション
470,479,後藤 理恵,女性,57,栃木県,宇都宮市,清住２丁目,2回め,2018-05-12,2018-10-30,2018-10-30,2018-11-29,2018-11-29,1000000,1000000,0,,,1000000,4,担当者の方が、熱心に対応してくれたので安心してお任せできました,1,住み替えの為に売却する事を考えましたが、築30年以上のマンションだったので本当に売れるのか不安でした。加えて、最初に冷やかしの人が見学にきていたので、不安が増していきました。,大手の安心感が1番大きな理由です。また担当者の方の感じも良くこちらの早く売りたいという要望に対して具体的な方法を示してくれてわかりやすかった。他の会社は1社はしつこく食い下がられ、感じが悪かった。,3,最初に物件を見た時から、すごく良い物件だと気に入ってもらい、不動産会社との直接買取を希望している当方の希望に沿えるように、社内で説得し了承を得るように努めていただいた。対応もあまり事務的過ぎずに熱心で、こまめに連絡があり、手続きもスピーディーに対応していただいた。,複数の不動産会社から見積もりをとり、それぞれ比較対象しながら売却を進める。,特になし。,土地
471,480,松石 大典,男性,59,石川県,金沢市,大桑町下葭島欠,3回以上,2019-02-01,2019-04-15,2019-07-01,2019-10-01,2020-01-31,17500000,18200000,1,1,1200000,16900000,2,高齢の両親と一緒に親身に考えていただき結果にも満足しています,3,少し居住年数がある家だったので売れるかどうか不安でした。,最終的には担当者の人間性だと思います。あまり口が上手すぎるのも自社の利益ばかり考えてるようで、また大手もなんか良くないとも聞いたから、地元の事をわかってる不動産会社を選んだ。,4,両親の家付き土地の売却でしたが、両親に対する担当者の説明が分かりやすく信頼感を持つことが出来たようだ。両親も一緒に考えて一緒に値段設定をして一緒に売却出来たと感じていると思います。,長い時間をかければ最終的に高く売れる訳でもなく、値段の設定と良い買い手に巡り合うタイミングが大切だと感じた。,特にありません。,戸建て
472,481,左海 幸太郎,男性,49,愛知県,西尾市,刈宿町敷田,初めて,2017-10-15,2017-10-15,2017-10-15,2018-08-15,2018-08-15,30000000,30000000,0,,,35000000,2,対応の早さが1番の決め手でした！,5,家も古く、周りの環境が変わっていました。隣の家との境界の確認の関係で、建て替えなどの場合の補償も含めて、リノベで行くのかなど、どのような方法が有効かを知りたいと考えていました。,最初のレスポンスが早かったことと、地元の情報を多く持っていそうな印象を受けたことが、不動産会社を決める決め手となりました。最終的には満足のいく取引になりましたので、不満はありません。,5,熱心に売買活動に取り組んでいただけた。また、必要以上の電話連絡もなく、ストレスなく対応していただいた。他の不動産会社からは必要以上に電話があり、少し嫌気がさしていたが、担当者の西島さんは必要最低限の連絡で迅速かつ、簡潔に対応していただけた。,沖縄県民の条件に見合った活動、対応をしてくれる会社が適した会社ではないかと考えます。,,マンション
473,482,新井 雅之,男性,43,京都府,亀岡市,大井町並河西又,2回め,2018-07-01,2018-12-01,2018-12-15,2020-07-01,2020-08-03,7600000,7600000,1,2,600000,7200000,1,担当者の親しみのある対応と他社と比較した査定額の高さが決め手でした。,5,身内の資産整理で売却を検討していました。生前贈与絡みは初めてだったので不安が多く、詳しく教えてほしいと思いました。またすぐに売れるのかも不安でした。,全国展開している不動産業者であったことは不安が抑えられるポイントとなった。販売実績もしっかりあり、信頼できる根拠の説明がきちんとしていることや丁寧な印象が決め手となった。,5,私からの細かな質問に迅速、的確に回答してくれました。また物件の問い合わせや内覧実施状況についても逐一報告してくれました。対応は事務的でなく、親しみを持てました。,業者によって査定額に大きな開きがあることがわかりました。相見積もりを取ることが重要だと思います。,即座に回答してくれた内容を後日、訂正することが数回ありました。それほど気にはなりませんでしたが、即座に回答ではなく、調べてから回答でもよかったです。,土地
474,483,前川 剛,その他・不明,61,福島県,会津若松市,河東町南高野字鍋治山,3回以上,2018-10-01,2018-10-01,2018-10-01,2019-01-01,2019-01-01,8300000,8300000,1,1,1300000,7000000,3,自社利益でなく顧客の要望を重視してくれました,5,老後のことを考えて息子夫婦の近くに引っ越すために、売却を検討しました。いくらで売却できるのか分からなかったため、複数の不動産会社に査定をお願いして売却額を決定しました。実際に売却するまで1年ほどかかりましたが、何とか売却することができてホッとしています。,最初、三社に声をかけてみた。最初の印象は丁寧でどこも変わらないなと思ったらその後の丁寧な対応や、こちらの都合への対応などに後から大きな差が出た。,5,対応がとても丁寧で、こちらの要望をしっかりと受け止めて頂いて、後に気がかりになることの無い取引が出来ました。このため、5か月後に、香川県で別の物件も、お願いしました。,誠実な不動産屋さんに出会うことです。,特にないです。取引をやめた不動産屋さんは、更地化にこだわって、困りました。,戸建て
475,484,影山 美佳,女性,65,大阪府,富田林市,小金台１丁目,初めて,2018-08-08,2018-08-08,2018-08-08,2018-11-14,2019-11-03,800000,1300000,0,,,1300000,2,担当者の誠意が感じられた。,1,既婚のため売却。なるべく早く売却をしたいと考えていたので結果通りとなり満足しています。身の回りの変化は特にありません。値下げもほぼせずに売却出来た点も満足。,たまたま見に行った物件の担当者だった方なのですが、その時無理に勧めることなくもっと違う物件の方が良いのではないかと誠実に対応してくれた。新しい賃貸住宅も違う会社が窓口だったがこの方にお願いした。人気の物件だったので二次募集がないといわれていた中、粘り強く確認して空きを見つけてくれた。,5,担当者が熱心でホームページに掲載されたのが早く、物件の進捗状況も随時メールで知らせていただきました。この不動産会社に依頼して本当によかったです。,１社でしか査定をしませんでしたが、信頼できると思い決めたのですが、やはり信頼が１番だと思いました。,特にありません。,マンション
476,485,新妻 太郎,男性,60,愛知県,知多市,大僧３丁目,2回め,2018-10-20,2018-11-20,2018-12-01,2019-03-28,2019-03-31,22000000,25000000,1,2,3000000,22000000,1,色々な物件を扱っている人なので、安心感があり、業界にも精通していた,2,引き渡しまでどれくらい時間がかかるのが一般的か分からず、一般の方の動きが少なかった。角地ではあったが、土地の形が変わっていたため、時間がかかるのは予想していなかった。,対応が早かったことと、査定の内容が詳しく書かれていたことからお会いしました。信頼できる方でしたのですぐ契約しました。,5,その都度、細かい報告があったので助かりました。その分、細かい意思表示とスピードをこちらも提供しなければいけなかったが、おかげさまで早く売れた。,基本的なことだが、親身になってくれるのが一番。税金に詳しい人の方が何かと助かります。,メールがショートメールのみだった。,土地
477,486,奥田 泰嗣,男性,44,秋田県,男鹿市,脇本浦田字鍋倉,3回以上,2018-08-01,2018-08-01,2018-08-01,2018-11-01,2018-12-01,12000000,12000000,0,,,14000000,4,対応の速さと担当者の誠実さで安心しておまかせできました。,1,売却物件が1973年築の旧耐震の建物でした。管理費と修繕費と固定資産税で年間50万円くらいのコストがかかり買い手がいるかとても不安でした。,担当者は若かったがやる気があり、上司も一緒にきたので安心感があった。名義人五人分の資料を作成してくれて送ってくれたのも良かった。,4,とにかく迅速で丁寧な受け答えで担当者の誠実な人柄が伝わり安心して話を進めることができました。他の不動産会社からも必要以上に連絡もなくてよかったです。,迅速で分かりやすく丁寧な対応をしてくれる担当者がいる会社がいい不動産会社と思います。,特にありません。,戸建て
478,487,衣笠 美香,女性,51,福島県,二本松市,吉倉字向沢,初めて,2018-07-01,2018-10-30,2018-10-30,2019-01-15,2019-01-30,70000000,70000000,0,,,7000000,2,早かった。,2,老後のことを考えて息子夫婦の近くに引っ越すために、売却を検討しました。いくらで売却できるのか分からなかったため、複数の不動産会社に査定をお願いして売却額を決定しました。実際に売却するまで1年ほどかかりましたが、何とか売却することができてホッとしています。,最初の問い合わせからレスポンスが早かった。また、唯一営業担当者が出向いてくださり、顔を合わせてお話ししたことが大きかったです。,4,ほとんどが電話の対応で、やりとりが出来て数回の帰省で書類の作成をしてもらったので助かりました。かなりわがままを聞いてもらったと思います。親が高齢だったので代わりに動いてくれてなおかつその説明の連絡をわかりやすくしてもらったので助かりました。,相場や販売事例は確認した方がいい。,別にありません。,マンション
479,488,笹崎 裕里,女性,54,愛知県,豊橋市,石巻本町字新田屋敷,2回め,2018-04-01,2018-07-01,2018-08-01,2018-10-01,2018-11-01,10000000,9800000,0,,,9000000,1,中国人入居希望者を探し出してくれたのがポイントだった,5,既婚のため売却。なるべく早く売却をしたいと考えていたので結果通りとなり満足しています。身の回りの変化は特にありません。値下げもほぼせずに売却出来た点も満足。,新しく購入するマンションの購入会社の方からの推薦で、売却した不動産屋に決めました。,5,物件下見の段階から非常に熱心で、仕事として仕方なくやって来て型通りの査定をしていった他社の見積もり担当者とは最初からやる気が違っているように見えたし、物件のある川口市に近い戸田市の店だったため、地元の動向にも詳しかった。,熱心な担当者と巡り会えるかどうかが肝心。,ほぼ満点で、改善が必要なところはない。,土地
480,489,大山 裕香,女性,53,愛知県,名古屋市北区,天道町５丁目,3回以上,2019-02-01,2019-02-01,2019-02-01,2019-09-01,2019-09-01,45000000,46000000,1,3,2000000,42000000,2,購入から売却までお世話になって安心できた,4,引き渡しまでどれくらい時間がかかるのが一般的か分からず、一般の方の動きが少なかった。角地ではあったが、土地の形が変わっていたため、時間がかかるのは予想していなかった。,東横線物件に強かったので、きっと良いお客がみつかるだろうと思いました。また、仲介手数料の割引サービスがあったこと。,5,売るためだけの対応ではなく、こちらの希望を聞いてくださったり、家への思い入れを理解してくださって任せられると安心できました。また、レスポンスもとても早く時間が無駄にかかることがなかった。,親身になってくれる不動産屋を見つけるのが一番だと思う。,,戸建て
481,490,中西 俊介,男性,47,福島県,相馬市,新沼字一反田,初めて,2018-08-31,2018-11-20,2018-11-20,2019-07-23,2019-08-21,6000000,7000000,0,,,7000000,4,担当者の対応が速くとても良かったです。,1,売却物件が1973年築の旧耐震の建物でした。管理費と修繕費と固定資産税で年間50万円くらいのコストがかかり買い手がいるかとても不安でした。,かなり積極的に対応してくれ、買い手探しも手広くやってくれましたのでこちらでお願いさせて頂きました。,4,わかりやすい説明で対応が良く、スピィーディーに売買することが出来ました。必要以上の電話連絡もなく、ストレスなくマンション売却を終わることが出来ました。,自分はこの不動産会社が合っていたが何件な見積もりは取ったほうがいいと思います。,,マンション
482,491,赤星 なつ美,その他・不明,55,愛知県,豊田市,岩倉町城ノ浦,2回め,2018-01-01,2018-01-01,2018-01-01,2019-04-01,2019-05-31,41000000,46000000,0,,,41000000,2,自社ブランドのマンションということです,1,築年数が古いため、そもそも売却出来るのか、という点。,丁寧な対応、分かりやすい説明、知らないことは持ち帰り後でちゃんと説明してくれる。プライベートな話題を提供してくれて親しみ易い。,5,自社ブランドのマンションなので、説明は完璧でした。また、自社ブランドのマンションを希望している買い手の情報も適切に提供してくれました。 やはり、一番は信頼感です。,できれば、同系列の不動産会社に売却を依頼する方が良いです。,今回は、ありません。,土地
483,492,津留 豊,男性,62,秋田県,由利本荘市,葛法字長橋上,3回以上,2018-09-01,2018-09-01,2018-09-07,2019-05-30,2019-05-30,20500000,20000000,1,3,500000,19000000,2,いろいろな対応ができる不動産会社,5,離婚して家が不要になった。,最初に相談した時から売却金額を決める報告書がしっかりしており、信頼できると思い、専任媒介で依頼したのがきっかけでした。また、金額の相談もあったので、満足でした。,4,売却活動をいろいろな方法で実施してくれたけど、時期などやいろいろあり売却希望予定より遅れた。最終的に売却と賃貸の両方に対応して売却が決まった。,いろいろバリアブルに対応ができる不動産会社を。,,戸建て
484,493,佐野 里奈,女性,43,徳島県,小松島市,坂野町字天神前,初めて,2018-08-01,2018-10-01,2018-10-01,2019-06-01,2019-06-01,13000000,15000000,0,,,15000000,2,担当者がとても親身になってくれて,1,きっかけは、父が前年に死亡し、母をそのまま一人で静岡においておくには不安であったため。査定価格よりかなり低い価格でしか引き合いがなかったら、と考えたら少し不安でした。,築年数が古いため、まずは売れるかが心配でした。しかし、業者さんのご協力で売却にたどり着きました。なんといつても、販売実績と積極的アプローチができて大満足。素晴らしい方にめぐりあいました。,5,父親ととても仲良くなってくれて、とても親身に考え、思ってくれていてとてもありがたかった。それに助かりました。何回も連絡をとっていたがあまり嫌気がなく、協力してもらってとても感謝している。,勉強は必要と感じた。,,マンション
485,494,丸尾 仁美,女性,43,宮城県,石巻市,小船越字的場,2回め,2018-06-01,2018-06-06,2018-06-06,2018-07-30,2018-09-07,20500000,20800000,0,,,20800000,1,売却価格、迅速な対応が主な決め手でした！,99,老後の事を考えて、住み替えを進めたが、48歳からローンがスタートし、返済できるかが不安だったので、残債を返済し、手元に残したかった。,不動産屋さんの代表が女性で話しやすかった事。土地の調査等お任せできて、現地に出向く回数が最小ですんだので助かりました。頂いた周辺地域の相場等はよく理解できましたが、宅地なのか農地なのかの違いがハッキリしませんでした。,4,迅速な対応で、こちらからの質問にも丁寧に分かり易く回答してくれました。他の不動産会社から何度も売却に関しての電話がありましたが、今回の担当者が一番信頼できると感じました。,見積もりは数社した方が良いと思います。こちらの希望に沿って活動してくれて、また的確なアドバイス、迅速に対応してくれる方が良いと思います。,特にありません。,土地
486,495,神山 幸子,女性,42,山形県,鶴岡市,東目字落合,3回以上,2019-06-01,2019-06-01,2019-06-01,2019-08-01,2019-08-24,42800000,42800000,1,1,1000000,39800000,3,地元力を見せつけられた、まさに他社を圧巻した販売力でした,1,両親が亡くなり売却しましたが、売り出しから意外と時間がかかった気がします。時期が悪かったのかもしれません。,一番反応の早かった業者に決めました。 家を売却する提案書 もしっかりしていてプレゼンが一番出来ていました。 担当者と電話で話した時も、きっちり話を聞いて質問にも答えてくれたのが決め手です。 加えて売却提示額も高かったです。,5,担当者自体は新入社員の方だったので、心許ない感じはありましたが、フォローしている上司や先輩方が経験豊富な方ばかりで、チームとして対応してくれたので安心してお任せすることができました。,不動産は巡り合わせだと思うので、まずは思い立ったら行動してみることが大事だと思います。,,戸建て
487,496,鈴木 直人,男性,55,宮城県,栗原市,栗駒稲屋敷五丁目,初めて,2017-04-01,2017-04-01,2017-04-01,2019-12-06,2020-01-06,4800000,10800000,1,3,800000,5000000,3,親身になって相談に乗ってくれる店（人）を見つける事だと思います,1,定年退職をきっかけに老後のことを考えて、駅近一戸建てへの住み替えのために売却を検討していました。家や庭のメンテナンスを考えると、転居の日までに売却できるか大変不安でした。,対応が早く、私のマンションの他部屋の仲介実績が二件くらいあった。売却査定理由に納得ができたし、担当の仲介セールスマンが買い手を数人以前から確保してたみたいだから。,2,売却にあたっての必要な書類などを一度に知らされず、必要な度に連絡があり何度か仕事を休んで役所に行ったので、対応に関しては満足度は低いです。いつ店に行っても、他の社員の方は留守で、いつも一人忙しそうにしていたので、私の対応がいい加減になるのでは？と不安がありましたが、こちらの何とか年内に売却したいと言う要望に間に合わせていただきました。,少しでも高く売りたい気持ちはわかりますが、売れないまま時間が経つと査定額もドンドン下がるので、ある程度の妥協は必要だと思うし、本当に住み替えたいなら、諦めない事だと思います。,不動産のプロだと思うので、もう少し先のスケジュールも分かってると思うので、前もって必要な書類や銀行に行く回数などを教えて欲しいです。,マンション
488,497,岩谷 健太郎,男性,53,青森県,八戸市,大字是川字六羅窪,2回め,2018-03-21,2018-04-20,2018-04-20,2018-07-03,2018-09-28,48000000,50000000,0,,,48000000,3,対応ががとても速く、不安を感じませんでした。,2,相続したものの、使用することもなく、固定資産税の負担が重いために売却することにしました。売れないのではないかという不安がありました。,土地売買や土地活用の経験に富んだ地元の知人経由の紹介だったことと、高値でのオファーが来たことが決め手。その他の面倒な交渉も初期の段階から熱心にしてくれ、仲介手数料も割り引いてもらえた。,4,連絡が密で客づけがとても良くかんじました。本当に買いたい客だけを連れてきてくれました。冷やかしと感じられる客をいなかったことが好感がもてました。,不動産会社はたくさんあり、どこがいいかは担当者の信頼性によるところ、が多いと思います。,特になし。,土地
489,498,山口 修平,男性,60,宮城県,仙台市泉区,実沢字向山,3回以上,2018-05-01,2018-08-04,2018-08-06,2019-03-30,2019-04-22,13000000,11000000,0,,,9800000,3,きわめてスピーディーに進めてもらい、対応も丁寧で満足できた,5,相続した家で生活には便利だが土地が狭く、特に駐車スペースに難があり築年数も経っていたために売却を検討した。狭い土地でも売れるかが非常に不安だった。,まず担当者の方の対応が早かったことでした。不安に感じていることやわからないことや、それまでの流れを全て聞いた上で相談に乗っていただけました。こちらが聞いたことには必ず返答があり、心配にならないように対処していただけました。,5,その中で、築50年の古家をリフォームして住みたいという顧客を紹介され、解体費用が不要な分を差し引いて価格提示し、顧客にも満足してもらえる売却ができました。,複数社に一般媒介契約することをおすすめする。,,戸建て
490,499,小澤 智子,女性,65,秋田県,秋田市,雄和萱ケ沢字柳沢,初めて,2018-11-02,2018-11-15,2018-12-01,2019-11-01,2019-12-20,8000000,8500000,1,6,1000000,7000000,1,対応が信頼できました,2,家を新築したくて。ローンの追い金もあまりしないでいける金額で売却したいと考えていました。,ネットで一括査定を試み、数社から回答が届きました。ある業者は「更地にした方が売りやすい」と建物を取り壊すことを勧める業者や、価格設定された業者の中でも1000万以上の差があり、どこを信用していいのか不安に思っていました。それを踏まえて、知り合いの不動産会社の方に相談して連絡を取りやすいところに頼むことにしました。,5,熱心に売却活動に取り組んでもらい。買い手候補が見つかった時は非常に迅速に話をまとめてもらった。担当者は必要以上に連絡をせず、買い手候補が見つかった際には、迅速に契約をまとめてもらった。,信頼できる不動産会社と担当者を見つけることが不動産売却の鍵だと思います。,,マンション
491,500,松田 洋三,男性,51,京都府,京都市上京区,西今出川町一条通七本松東入,2回め,2018-11-01,2019-02-01,2019-02-01,2019-04-01,2019-04-12,41500000,42800000,0,,,42800000,2,担当者の迅速で丁寧な対応が決め手。,1,両親が亡くなり、実家が空き家になったため今の家を売却して実家に帰ろうと思いました。残債が返済できるくらいの金額で売れるか心配でしたが、不動産会社さんのおかげで無事に売ることができました。,大手の安心感が1番大きな理由です。また担当者の方の感じも良くこちらの早く売りたいという要望に対して具体的な方法を示してくれてわかりやすかった。他の会社は1社はしつこく食い下がられ、感じが悪かった。,5,新人だったが熱心に対応していただき、終始安心して売却を任せることができました。時間外の遅い時間帯でも都度連絡をいただけて、助かりました。受け答えも一つ一つに丁寧で全くストレスがなかった。,納得のできる説明と選択肢を幅広く提案してくれる業者は信用できます。あとは、担当者個人の良し悪しになりますが、上司含め複数の関係者がチームとなって対応いただいたので総合力が高かったです。,,土地
492,501,樋口 堅司,男性,51,京都府,亀岡市,宮前町宮川大鶴,3回以上,2018-12-08,2019-02-01,2019-07-22,2019-11-30,2020-03-31,15800000,15800000,0,,,14000000,1,担当者の方が親切・丁寧かつスピーディーに対応してくれました。是非お薦めします❗,99,ずっとマンションだったので一戸建はちょっと怖いと思いました。,最終的には担当者の人間性だと思います。あまり口が上手すぎるのも自社の利益ばかり考えてるようで、また大手もなんか良くないとも聞いたから、地元の事をわかってる不動産会社を選んだ。,5,熱心に売買活動に取り組んでいただけました。また、毎週、進捗状況を手紙で報告してもらい、こちらから一切催促することはありませんでした。連絡時も用件を簡潔に話され、好感が持てました。,私には最適な業者及び担当者でした。被災物件にもかかわらず、嫌な顔ひとつせず、親切・丁寧な対応をしてくれました(他社は始めから売却困難と言って相手にもしてもらえませんでした)。こちらの事情をよく理解し、適切なアドバイスをしてくれる業者を見つけることが大切だと思います。,ありません！,戸建て
493,502,井上 拓也,男性,58,山形県,酒田市,豊里字下藤塚,初めて,2014-08-23,2014-08-23,2014-10-19,2014-12-01,2014-12-31,30000000,30000000,0,,,26500000,4,知人の紹介で、安心してお任せできました。,4,定年を前に出費を抑えるたかった。売却後の残金と住替えの頭金。,最初のレスポンスが早かったことと、地元の情報を多く持っていそうな印象を受けたことが、不動産会社を決める決め手となりました。最終的には満足のいく取引になりましたので、不満はありません。,5,知名度もありましたが、それよりも担当者さまの対応が親切で、心からの対応だと言うことが伝わって来た為です。今後も、そのご担当者さんにお願いしたいな。と思っております。,信頼出来る方からのご紹介でしたら、相見積もりは取らなくても大丈夫だと思います。,特にありません。,マンション
494,503,佐野 敬行,男性,57,愛知県,岡崎市,鉢地町字中野,2回め,2018-07-01,2018-07-08,2018-07-15,2018-12-28,2019-02-08,18500000,19800000,1,2,1000000,16500000,1,担当者の方が丁寧で、色々な売却プランを提案して頂けます。,1,運送業を営んでいましたが、仕事が順調に回らず、金融会社から多額の借金をしてしまった。なかなか返して行くのが厳しくなり、やむを得ず売却するに至りました。27年間住んだ家を手放し、実家に戻って、また一からやり直せるのかが不安でした。,全国展開している不動産業者であったことは不安が抑えられるポイントとなった。販売実績もしっかりあり、信頼できる根拠の説明がきちんとしていることや丁寧な印象が決め手となった。,5,対応は非常に丁寧で、説明は分かりやすく、担当者の方に対する不満は一切ありません。また事務所に連絡した際の電話応対の方の対応も非常に丁寧で、社員教育が良く行き届いていると感じました。,たくさんの担当者の方と会話することで色々なことが見えてくるので、契約前にたくさんの不動産会社に相談することをお勧めします。,特になし。,土地
495,504,渡辺 真司,男性,61,愛知県,一宮市,萩原町高木字棒田,3回以上,2018-06-01,2018-06-01,2018-06-01,2018-10-01,2018-12-01,30500000,30500000,0,,,30000000,4,対応の早さが決め手でした！,3,住み替えの為に売却する事を考えましたが、築30年以上のマンションだったので本当に売れるのか不安でした。加えて、最初に冷やかしの人が見学にきていたので、不安が増していきました。,最初、三社に声をかけてみた。最初の印象は丁寧でどこも変わらないなと思ったらその後の丁寧な対応や、こちらの都合への対応などに後から大きな差が出た。,5,熱心に売買活動に取り組んでいただけた。また、必要以上の電話連絡もなくストレスフリーで対応していただいた。他の不動産会社からは必要以上の電話があり、嫌気が差していたが、必要最低限の連絡で迅速かつ簡潔に対応していただけた。,自分に合った不動産会社を選んでください。,特になし。,戸建て
496,505,神部 純平,男性,62,山形県,酒田市,広野字西百間,初めて,2018-06-20,2018-07-29,2018-07-29,2018-08-10,2018-10-10,26500000,26500000,0,,,26500000,1,査定額と対応の早さ,1,少し居住年数がある家だったので売れるかどうか不安でした。,たまたま見に行った物件の担当者だった方なのですが、その時無理に勧めることなくもっと違う物件の方が良いのではないかと誠実に対応してくれた。新しい賃貸住宅も違う会社が窓口だったがこの方にお願いした。人気の物件だったので二次募集がないといわれていた中、粘り強く確認して空きを見つけてくれた。,5,迅速な対応をとってもらい、すぐに自宅に説明にきてくれた。また質問に対しても返信が早かった。他の不動産会社からは何度もしつこく電話があったりしたが、それがなかった。,数社に見積りをとって結果査定額が一番高い会社に決めましたが、決めては対応が早く誠意があったので、自分は何を優先するのか決めてから動いたほうがいいと思う。,,マンション
497,506,松本 大輔,男性,65,愛知県,西尾市,西小梛町三ノ切横縄,2回め,2018-07-06,2018-07-18,2018-07-18,2018-11-08,2018-12-25,54000000,54000000,0,,,54000000,3,大変でしたが最期まで良くやっていただいたと思います,3,家も古く、周りの環境が変わっていました。隣の家との境界の確認の関係で、建て替えなどの場合の補償も含めて、リノベで行くのかなど、どのような方法が有効かを知りたいと考えていました。,対応が早かったことと、査定の内容が詳しく書かれていたことからお会いしました。信頼できる方でしたのですぐ契約しました。,5,熱心に丁寧に取り組んでいただき感謝しています。大手の企業にもお願いしましたが批判ばかりであまり熱心になっていませんでした。ここはその都度進捗状況を連絡してくれ、色々良くやっていただいたと思います。,ある程度自分自身も知識を持ち、勉強しないといけないと思います。,特になし。,土地
